order,seasonal_order,mape,mae,rmse,aic,bic
"(0, 1, 2)","(2, 1, 1, 12)",104.01730561876417,75583.88674964069,82668.47684440638,1097.1058495878153,1107.810987391325
"(1, 0, 0)","(0, 0, 0, 12)",60.19499238902293,50168.90100717754,58096.2157894198,2016.838911992267,2021.6029652616148
"(1, 0, 0)","(0, 0, 1, 12)",68.54431554952292,58652.316785409,68884.58042238643,1690.7417666085862,1697.4002897241146
"(1, 0, 0)","(0, 1, 0, 12)",15.472649403307953,12971.450070542269,15323.594153505264,1668.3206680287371,1672.7596834390893
"(1, 0, 0)","(0, 1, 1, 12)",31.68650572651346,25525.673765877804,29232.748242484602,1377.205833619971,1383.2818886921764
"(1, 0, 0)","(1, 0, 0, 12)",14.490919786899061,11824.994680679389,15026.419438042889,1679.0658084180172,1685.7243315335456
"(1, 0, 0)","(1, 0, 1, 12)",10.695592769567071,8069.202670550693,10924.644282499139,1680.8517906935278,1689.7298215142323
"(1, 0, 0)","(1, 1, 0, 12)",37.06266835002565,31149.397019707696,38500.42395216577,1378.1567753131962,1384.2328303854017
"(1, 0, 0)","(1, 1, 1, 12)",31.643364994483164,25485.964042716925,29182.76737243207,1379.205811064041,1387.3072178269815
"(1, 0, 0)","(2, 0, 0, 12)",12.179890048814178,10475.984756284628,12921.376515990994,1387.2259776917876,1395.3273844547282
"(1, 0, 0)","(2, 0, 1, 12)",13.81546750872056,13023.505130958632,18609.70584082416,1388.574786808956,1398.701545262632
"(1, 0, 0)","(2, 1, 0, 12)",35.26635105030134,29026.91872168896,34262.87086963138,1094.1166321683963,1101.2533907040695
"(1, 0, 0)","(2, 1, 1, 12)",31.56444815334402,30053.324164593447,45704.59265628947,1094.0806829487124,1103.0016311183037
"(1, 0, 1)","(0, 0, 0, 12)",22.78956099656115,20454.01464094499,33067.98967267868,1976.148510233863,1983.256853791264
"(1, 0, 1)","(0, 0, 1, 12)",56.74787265781964,49659.98184188957,59811.57823426201,1658.565995946822,1667.384766424386
"(1, 0, 1)","(0, 1, 0, 12)",13.165768728743915,10982.041001599713,13269.03539465057,1645.5247063123709,1652.1387841705439
"(1, 0, 1)","(0, 1, 1, 12)",30.153973332197975,24152.36448533824,27394.27339446187,1354.852033022462,1362.8813657633918
"(1, 0, 1)","(1, 0, 0, 12)",21.894831076949465,18096.2701355469,20587.174088456155,1671.5006712213008,1680.3787020420052
"(1, 0, 1)","(1, 0, 1, 12)",13.666019270804725,10949.540259330024,13613.528037588927,1649.0691941003006,1660.0926571972554
"(1, 0, 1)","(1, 1, 0, 12)",34.247524500010165,28758.560881755388,35576.97132911433,1378.9719258802206,1387.0733326431612
"(1, 0, 1)","(1, 1, 1, 12)",30.348028122860455,24336.298663736514,27623.365743788563,1356.851614314209,1366.8882802403714
